method,ochiai,jaccard,gp13,wong1,wong2,wong3,tarantula,ample,RussellRao,SorensenDice,Kulczynski1,SimpleMatching,M1,RogersTanimoto,Hamming,ochiai2,Hamann,dice,Kulczynski2,Sokal,M2,Goodman,Euclid,Anderberg,Zoltar,ER1a,ER1b,ER5a,ER5b,ER5c,gp02,gp03,gp19,min_age,max_age,mean_age,num_args,num_vars,b_length,loc,churn,fault
org.apache.commons.math.fraction.BigFraction$divide<Ljava/math/BigInteger;>,0.0,0.0,0.0,0.0,0.994987,0.522445,0.0,0.0,0.0,0.0,0.0,0.994987,0.498744,0.993935,0.994987,0.0,0.994987,0.0,0.0,0.995515,0.0,0.0,0.995267,0.0,0.0,0.0,0.17359,0.0,0.0,0.0,0.0,0.0,0.0,0.161174,0.165368,0.162572,0.1,0.037037,0.00593668,0.0130719,0.0588235,0
org.apache.commons.math.linear.EigenDecompositionImpl$<init><Lorg/apache/commons/math/linear/RealMatrix;D>,0.0,0.0,0.0,0.0,0.952381,0.0907354,0.0,0.00900901,0.0,0.0,0.0,0.952381,0.0502513,0.942897,0.952381,0.0,0.952381,0.0,0.0,0.957195,0.0,0.0,0.954931,0.0,0.0,0.0,0.166157,0.0,0.0,0.0,0.171116,0.305714,0.0,0.0575195,0.0575195,0.0575195,0.2,0.0555556,0.00725594,0.0392157,0.0,0
org.apache.commons.math.ode.sampling.AbstractStepInterpolator$isForward<>,0.0,0.0,0.0,0.0,0.781955,0.0744986,0.0,0.045045,0.0,0.0,0.0,0.781955,0.00901057,0.747527,0.781955,0.0,0.781955,0.0,0.0,0.800386,0.0,0.0,0.791725,0.0,0.0,0.0,0.136423,0.0,0.0,0.0,0.436604,0.590002,0.0,0.310965,0.310965,0.310965,0.0,0.0185185,0.000659631,0.0,0.0,0
org.apache.commons.math.stat.regression.AbstractMultipleLinearRegression$newYSampleData<[D>,0.0,0.0,0.0,0.0,0.942356,0.0897803,0.0,0.0111288,0.0,0.0,0.0,0.942356,0.0410749,0.93102,0.942356,0.0,0.942356,0.0,0.0,0.948128,0.0,0.0,0.945414,0.0,0.0,0.0,0.164408,0.0,0.0,0.0,0.194745,0.336283,0.0,0.0413421,0.101857,0.0715998,0.1,0.037037,0.00197889,0.00653595,0.235294,0
org.apache.commons.math.linear.OpenMapRealVector$mapMultiplyToSelf<D>,0.0,0.0,0.0,0.0,0.992481,0.283668,0.0,0.000529942,0.0,0.0,0.0,0.992481,0.331658,0.990907,0.992481,0.0,0.992481,0.0,0.0,0.99327,0.0,0.0,0.992899,0.0,0.0,0.0,0.173153,0.0,0.0,0.0,0.0218584,0.054581,0.0,0.0982624,0.0982624,0.0982624,0.1,0.0185185,0.000989446,0.0261438,0.0,0
org.apache.commons.math.linear.Array2DRowRealMatrix$getData<>,0.0,0.0,0.0,0.0,0.691729,0.0659026,0.0,0.0641229,0.0,0.0,0.0,0.691729,0.00563795,0.649442,0.691729,0.0,0.691729,0.0,0.0,0.715008,0.0,0.0,0.704074,0.0,0.0,0.0,0.120682,0.0,0.0,0.0,0.5301,0.670253,0.0,0.0413421,0.0413421,0.0413421,0.0,0.0185185,0.000659631,0.0,0.0,0
org.apache.commons.math.linear.SingularValueDecompositionImpl$getU<>,0.0,0.0,0.0,0.0,0.992481,0.283668,0.0,0.00370959,0.0,0.0,0.0,0.992481,0.331658,0.990907,0.992481,0.0,0.992481,0.0,0.0,0.99327,0.0,0.0,0.992899,0.0,0.0,0.0,0.173153,0.0,0.0,0.0,0.0964874,0.196678,0.0,0.0575195,0.0575195,0.0575195,0.0,0.185185,0.0478232,0.130719,0.0,0
org.apache.commons.math.linear.RealMatrixImpl$getEntry<II>,0.0,0.0,0.0,0.0,0.994987,0.522445,0.0,0.0127186,0.0,0.0,0.0,0.994987,0.498744,0.993935,0.994987,0.0,0.994987,0.0,0.0,0.995515,0.0,0.0,0.995267,0.0,0.0,0.0,0.17359,0.0,0.0,0.0,0.211083,0.356572,0.0,0.188137,0.310965,0.270022,0.2,0.0740741,0.0118734,0.0130719,0.647059,0
org.apache.commons.math.linear.BlockFieldMatrix$getSubMatrix<IIII>,0.0,0.0,0.0,0.0,0.994987,0.522445,0.0,0.00105988,0.0,0.0,0.0,0.994987,0.498744,0.993935,0.994987,0.0,0.994987,0.0,0.0,0.995515,0.0,0.0,0.995267,0.0,0.0,0.0,0.17359,0.0,0.0,0.0,0.0386306,0.0911787,0.0,0.0425404,0.0425404,0.0425404,0.4,0.444444,0.0986148,0.20915,0.0,0
org.apache.commons.math.stat.descriptive.StatisticalSummaryValues$<init><DDJDDD>,0.0,0.0,0.0,0.0,0.97995,0.164279,0.0,0.00317965,0.0,0.0,0.0,0.97995,0.122802,0.975817,0.97995,0.0,0.97995,0.0,0.0,0.982029,0.0,0.0,0.981052,0.0,0.0,0.0,0.170966,0.0,0.0,0.0,0.0868474,0.18075,0.0,0.736369,0.736369,0.736369,0.6,0.12963,0.00659631,0.0457516,0.0,0
